Sex	Pulse	Ancestry	Min	Mean	Median	Mode	Max	Std
Female	1	EUR	0.0113801912285896	0.14202445418316634	0.106324187439923	0	0.4312937775311	0.10368088258994429
Female	1	AFR	0.288318947643933	0.6101954308493579	0.611084727444464	0	0.87167559456291	0.14322180587724168
Female	1	NAT	0.0420713011455376	0.2477801149674756	0.235682458884674	0	0.539286744324025	0.12863693641363874
Female	1	HYB	0.0	0.0	0.0	0	0.0	0.0
Female	2	EUR	0.0022696571474664	0.0152044218758815	0.0134535303738448	0	0.0503011311071538	0.00980073850259974
Female	2	AFR	0.501391677808447	0.5964812808250077	0.596364140542342	0	0.674440027419601	0.037798393058572716
Female	2	NAT	0.000572245302196	0.00992430449211597	0.0074363240938507	0	0.0377624022803996	0.007952032948705818
Female	2	HYB	0.295984149195962	0.3783899928069951	0.377644120861995	0	0.466510797405045	0.03699782161822369
Female	3	EUR	0.0005619816327343	0.010400806975054147	0.0073898219104035	0	0.0384489407422184	0.008929373349065526
Female	3	AFR	0.294200521723383	0.3823201922871275	0.383541597286671	0	0.464481172587692	0.03726917508722601
Female	3	NAT	0.0009777939874809	0.011282613779765178	0.0091217765880281	0	0.038727607940875	0.008812049274473358
Female	3	HYB	0.507383530342882	0.5959963869580537	0.596948035373278	0	0.680644330388384	0.037408078422079334
Female	4	EUR	0.0004617370768197	0.006674880771768887	0.0049416089759201	0	0.0246600843418631	0.005507961426449714
Female	4	AFR	0.311649755327322	0.38172343225188615	0.382053647354718	0	0.450787372214975	0.03213786748788377
Female	4	NAT	0.0010809505447611	0.009579785514284447	0.0083092888951718	0	0.026874585629131	0.0063773804602432795
Female	4	HYB	0.530388694542938	0.6020219014620601	0.602992736260551	0	0.670431638219973	0.03192480047584509
Female	5	EUR	0.0039932063717255	0.016559026773552938	0.0160078054602845	0	0.0329751607818613	0.007570484152034948
Female	5	AFR	0.911441895935449	0.9395124365654484	0.940671130787373	0	0.955898536482257	0.010658112888452127
Female	5	NAT	0.0004635178294215	0.006852635289901041	0.0054978606431776	0	0.0215568231122479	0.005268156005636293
Female	5	HYB	0.019152659109114	0.03707590137109801	0.0360446797823304	0	0.0635486145074656	0.010152126812672115
Male	1	EUR	0.0804505525611413	0.15485331885977718	0.154776787589092	0	0.244036481290915	0.036254176731497716
Male	1	AFR	0.474520264702589	0.5944324597703686	0.594363758735033	0	0.700825101834342	0.047730642344079144
Male	1	NAT	0.161443124703755	0.25071422136985394	0.250687478886703	0	0.356739089987941	0.04453233091118246
Male	1	HYB	0.0	0.0	0.0	0	0.0	0.0
Male	2	EUR	0.50023821861817	0.600021088804473	0.604140954028641	0	0.678217321223867	0.04066094388925871
Male	2	AFR	0.0006346171458954	0.00924131512795219	0.0062421867517005	0	0.0378815696274316	0.00838274969272327
Male	2	NAT	0.295911588266426	0.37941033267821866	0.378241893131202	0	0.469700748869623	0.039722530648465454
Male	2	HYB	0.0009627304081425	0.011327263389355842	0.0082667293223483	0	0.0398987083956131	0.009223812619286773
Male	3	EUR	0.284153689820511	0.3775135471189422	0.375882294188233	0	0.467654941944177	0.03882423379474522
Male	3	AFR	0.0006338615576932	0.01153556862531011	0.0088210881722085	0	0.0396028957688167	0.009280904702949868
Male	3	NAT	0.501114043712297	0.597418235225507	0.599217419388669	0	0.677930015875655	0.03973494850384408
Male	3	HYB	0.0016413855698131	0.01353264903024085	0.0109971206833637	0	0.0474476081846649	0.009906117965807983
Male	4	EUR	0.328646194061431	0.3824620406024473	0.382935874491764	0	0.435133136013423	0.024867307628824543
Male	4	AFR	0.0023801387141026	0.01027242076823938	0.0091324958794479	0	0.0251751229075976	0.005290830012505932
Male	4	NAT	0.547395587103215	0.6030587372153151	0.601228937644633	0	0.656350882292556	0.025340427061911076
Male	4	HYB	0.0002540165921249	0.004206801413998183	0.0033389530566725	0	0.0140169128876435	0.003293742887139333
Male	5	EUR	0.768950322804116	0.8234046531821204	0.824256483032641	0	0.867058111891315	0.023293429989742993
Male	5	AFR	0.0003173042961354	0.00528439065111016	0.0044284775277959	0	0.0171912603304123	0.004089284965276506
Male	5	NAT	0.0125463743454847	0.03098370232914614	0.0299182148919217	0	0.0563204596086237	0.010515843299906619
Male	5	HYB	0.0988226996555882	0.14032725383762315	0.138420724839034	0	0.190222678246827	0.0215752847590048
